"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름,,,
서울,230,189,37.6%,40.2%,4.7%,7.6%,2.7%,0.8%,4.7%,1.6%,,,
"경기,인천",355,315,45.0%,34.7%,2.6%,4.5%,3.9%,0.8%,6.9%,1.7%,,,
"대전,세종,충남북",86,106,40.4%,38.5%,3.6%,3.6%,2.8%,0.8%,8.5%,1.9%,,,
"부산,울산,경남",119,151,34.5%,44.2%,3.8%,5.7%,3.3%,1.4%,5.0%,2.1%,,,
"대구,경북",73,98,38.6%,39.0%,0.0%,8.1%,7.1%,1.0%,3.8%,2.4%,,,
"광주,전남북",97,98,71.6%,9.9%,3.4%,4.8%,4.8%,2.2%,3.3%,0.0%,,,
"강원,제주",40,43,29.2%,31.9%,7.5%,7.4%,6.3%,0.0%,12.4%,5.3%,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
