"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,,,
서울,211,188,39.0%,40.1%,4.5%,8.0%,1.5%,1.4%,3.2%,2.3%,,,
"경기,인천",333,315,50.4%,31.5%,4.0%,6.5%,0.6%,0.5%,5.6%,0.9%,,,
"대전,세종,충남북",88,107,43.8%,31.9%,9.9%,8.4%,0.0%,3.1%,2.2%,0.7%,,,
"광주,전남북",94,98,66.6%,18.4%,1.6%,3.3%,0.0%,1.9%,7.5%,0.7%,,,
"대구,경북",93,98,32.7%,51.3%,0.9%,7.9%,0.8%,0.9%,5.5%,0.0%,,,
"부산,울산,경남",132,150,34.3%,39.7%,1.2%,11.0%,0.0%,0.7%,9.5%,3.6%,,,
"강원,제주",49,44,29.9%,43.8%,4.3%,11.9%,0.0%,3.7%,2.0%,4.4%,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
