"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름,
서울,204,190,35.2%,36.1%,1.4%,18.1%,3.2%,0.4%,0.3%,4.8%,0.4%,
"경기,인천",329,316,32.9%,40.9%,1.6%,12.9%,3.1%,0.4%,1.4%,5.5%,1.3%,
"대전,세종,충남북,강원",138,137,28.6%,49.6%,3.4%,12.0%,3.9%,0.0%,0.0%,0.4%,2.2%,
"광주,전남북,제주",118,111,48.8%,26.9%,2.7%,15.4%,2.1%,1.2%,0.0%,1.4%,1.4%,
"대구,경북",86,98,32.1%,52.1%,0.0%,6.8%,2.4%,1.1%,1.5%,4.0%,0.0%,
"부산,울산,경남",128,151,34.5%,38.2%,4.7%,10.1%,2.1%,1.4%,1.4%,4.5%,3.2%,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
