"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,
서울,202,193,40.10%,34.70%,3.20%,13.90%,0.90%,5.20%,2.00%,,
"경기,인천",301,320,34.80%,38.90%,3.70%,13.90%,2.30%,3.90%,2.60%,,
"대전,세종,충남북",96,109,37.30%,44.40%,2.60%,11.10%,2.90%,0.80%,0.90%,,
"광주,전남북",115,99,63.20%,16.80%,4.30%,9.30%,1.40%,1.60%,3.30%,,
"대구,경북",105,99,28.60%,49.30%,0.90%,8.60%,3.90%,7.60%,1.10%,,
"부산,울산,경남",148,152,31.90%,46.70%,4.00%,10.50%,1.30%,4.70%,0.80%,,
"강원,제주",50,45,43.20%,28.10%,1.80%,12.90%,6.00%,6.20%,1.80%,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
