"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름,
서울,196,193,31.6%,46.3%,3.4%,11.6%,0.0%,3.0%,0.7%,3.4%,0.0%,
"경기,인천",285,322,41.2%,36.5%,2.0%,12.8%,0.5%,3.0%,0.0%,3.3%,0.8%,
"대전,세종,충남북",116,109,30.9%,44.3%,2.8%,11.1%,0.9%,5.0%,0.8%,2.6%,1.7%,
"광주,전남북",121,99,57.0%,18.0%,5.4%,9.2%,1.5%,3.2%,0.0%,4.0%,1.6%,
"대구,경북",98,100,27.6%,53.9%,4.4%,7.6%,0.8%,1.1%,0.8%,2.0%,1.9%,
"부산,울산,경남",141,152,22.7%,57.7%,0.4%,11.0%,1.3%,3.0%,0.7%,2.3%,1.0%,
"강원,제주",63,45,38.0%,41.7%,2.2%,4.7%,0.0%,1.7%,0.8%,4.2%,6.7%,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
