"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,186,187,30.9%,36.8%,5.0%,12.5%,1.8%,8.9%,4.1%
"경기,인천",315,316,38.9%,34.2%,2.6%,11.6%,0.6%,8.9%,3.1%
"대전,세종,충남북",105,108,36.8%,27.1%,1.1%,14.6%,2.9%,17.6%,0.0%
"광주,전남북",100,97,57.8%,14.4%,2.1%,7.7%,1.2%,14.0%,2.7%
"대구,경북",98,98,20.3%,39.9%,3.4%,18.4%,0.8%,10.9%,6.2%
"부산,울산,경남",153,150,26.1%,35.9%,2.2%,17.3%,1.3%,14.5%,2.6%
"강원,제주",43,44,22.1%,38.1%,6.4%,4.0%,5.7%,15.0%,8.6%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
