"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름,,,
서울,201,190,30.1%,45.1%,4.4%,8.0%,7.2%,0.6%,0.7%,3.1%,0.8%,,,
"경기,인천",331,317,35.9%,42.8%,1.4%,10.5%,5.1%,0.8%,0.3%,3.0%,0.3%,,,
"대전,세종,충남북,강원",148,137,36.9%,42.8%,5.1%,5.3%,5.6%,0.0%,0.0%,1.3%,3.1%,,,
"광주,전남북,제주",110,111,57.4%,22.7%,6.6%,4.0%,3.9%,1.0%,1.0%,1.4%,1.9%,,,
"대구,경북",94,98,22.7%,55.7%,0.0%,12.2%,6.0%,0.8%,0.0%,2.6%,0.0%,,,
"부산,울산,경남",121,152,33.0%,43.9%,2.6%,10.5%,5.5%,2.3%,0.0%,2.2%,0.0%,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
