"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,
서울,317,257,25.3%,38.6%,4.4%,13.7%,1.1%,4.0%,4.3%,8.6%,
"경기,인천",431,431,36.8%,36.2%,1.6%,10.0%,0.1%,2.4%,4.8%,8.0%,
"대전,세종,충남북",116,146,33.6%,43.0%,2.2%,12.6%,0.8%,0.0%,1.8%,5.8%,
"광주,전남북",138,134,63.4%,10.1%,0.5%,9.0%,0.7%,2.1%,4.5%,9.8%,
"대구,경북",124,135,13.9%,52.8%,2.5%,15.8%,0.6%,0.5%,4.9%,9.1%,
"부산,울산,경남",187,207,30.7%,39.6%,2.8%,15.2%,0.5%,2.6%,2.6%,5.9%,
"강원,제주",57,59,26.4%,40.3%,5.8%,8.9%,0.0%,1.6%,0.0%,16.9%,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
