"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,,
서울,209,189,30.3%,49.2%,2.1%,12.5%,2.1%,1.4%,1.7%,0.4%,,
"경기,인천",328,315,41.2%,39.8%,3.4%,10.4%,0.6%,2.2%,1.3%,1.1%,,
"대전,세종,충남북,강원",115,136,44.2%,38.2%,3.1%,11.4%,0.0%,2.1%,1.1%,0.0%,,
"광주,전남북,제주",125,111,61.3%,25.0%,3.7%,5.9%,1.0%,1.6%,1.5%,0.0%,,
"대구,경북",92,98,26.9%,55.8%,2.0%,12.8%,0.0%,0.0%,2.4%,0.0%,,
"부산,울산,경남",131,151,29.7%,50.6%,3.0%,7.6%,0.6%,2.1%,5.4%,0.9%,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
