"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름,,,,,
서울,234,190,35.3%,45.1%,5.1%,5.9%,2.4%,1.4%,1.4%,2.0%,1.4%,,,,,
"경기,인천",327,318,33.9%,48.6%,1.3%,10.3%,2.3%,0.6%,0.2%,1.3%,1.5%,,,,,
"대전,세종,충남북,강원",123,137,30.6%,47.8%,4.2%,9.5%,5.3%,0.0%,0.0%,1.3%,1.2%,,,,,
"광주,전남북,제주",114,111,57.4%,28.0%,2.7%,6.9%,0.6%,0.8%,0.0%,3.6%,0.0%,,,,,
"대구,경북",92,98,22.8%,57.7%,1.7%,7.5%,2.0%,3.8%,1.9%,1.7%,0.8%,,,,,
"부산,울산,경남",116,152,36.6%,49.3%,0.9%,5.0%,2.5%,1.5%,0.0%,4.3%,0.0%,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
