"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,189,189,29.7%,36.7%,4.9%,16.6%,0.6%,6.9%,4.7%,
"경기,인천",323,320,38.2%,37.5%,3.1%,10.6%,0.6%,8.7%,1.2%,
"대전,세종,충남북",104,108,40.4%,37.6%,0.9%,9.0%,0.0%,9.3%,2.8%,
"광주,전남북",99,101,61.2%,11.0%,1.3%,11.9%,2.0%,6.7%,5.9%,
"대구,경북",103,97,18.6%,60.0%,3.9%,11.3%,1.0%,4.1%,1.0%,
"부산,울산,경남",151,154,27.8%,39.7%,4.5%,10.5%,0.6%,14.5%,2.4%,
"강원,제주",43,43,27.9%,34.9%,7.0%,14.0%,0.0%,11.6%,4.7%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
