"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름
서울,221,193,33.8%,46.6%,3.8%,9.7%,1.8%,1.5%,1.0%,1.5%,0.3%
"경기,인천",298,320,37.7%,46.7%,2.1%,8.0%,0.3%,1.9%,0.3%,2.4%,0.4%
"대전,세종,충남북",108,109,42.1%,41.4%,2.3%,9.6%,0.0%,3.0%,0.0%,1.5%,0.0%
"광주,전남북",109,99,69.4%,13.7%,2.3%,9.4%,0.0%,1.1%,1.1%,1.7%,1.1%
"대구,경북",93,99,20.1%,60.3%,2.4%,5.9%,0.8%,4.0%,0.9%,2.4%,3.2%
"부산,울산,경남",128,152,26.1%,52.5%,5.1%,8.7%,1.0%,1.2%,0.0%,4.5%,0.8%
"강원,제주",60,45,31.8%,42.8%,2.7%,10.3%,0.0%,1.8%,0.0%,8.9%,1.8%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
