"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,,
서울,401,381,35.9%,46.0%,3.3%,8.6%,1.0%,3.3%,1.9%,,,
"경기,인천",694,638,43.3%,39.7%,3.1%,8.9%,1.4%,2.1%,1.6%,,,
"대전,세종,충남북",214,214,33.5%,48.6%,1.7%,12.3%,1.4%,1.4%,1.1%,,,
"광주,전남북",189,199,62.3%,22.6%,2.2%,8.0%,1.4%,0.6%,2.9%,,,
"대구,경북",174,198,22.7%,61.1%,2.9%,5.8%,3.8%,2.5%,1.3%,,,
"부산,울산,경남",268,305,31.0%,53.7%,1.8%,9.5%,2.0%,1.3%,0.8%,,,
"강원,제주",80,85,36.1%,49.7%,0.0%,7.3%,1.1%,2.2%,3.6%,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
