"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
서울,209,189,45.0%,36.5%,6.4%,6.4%,1.3%,0.4%,0.5%,2.4%,1.1%
"경기,인천",317,316,45.2%,42.0%,1.2%,6.2%,1.2%,0.3%,0.6%,3.0%,0.3%
"대전,세종,충남북",99,106,41.1%,43.2%,2.6%,9.1%,1.0%,0.9%,0.0%,1.1%,0.9%
"광주,전남북",106,98,61.5%,27.7%,2.2%,4.9%,2.2%,0.0%,0.0%,0.7%,0.9%
"대구,경북",87,98,32.4%,52.9%,1.5%,5.3%,3.8%,1.9%,0.0%,2.2%,0.0%
"부산,울산,경남",129,151,38.4%,49.9%,2.4%,3.6%,1.9%,0.0%,0.6%,2.5%,0.6%
"강원,제주",55,44,38.1%,47.3%,3.5%,3.8%,3.6%,0.0%,2.3%,1.5%,0.0%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
