"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,188,190,39.0%,50.3%,2.8%,2.0%,0.5%,3.8%,1.7%,0.0%
"경기,인천",312,315,43.2%,42.3%,2.5%,6.2%,1.3%,1.3%,2.6%,0.7%
"대전,세종,충남북",112,106,31.5%,52.9%,2.8%,8.3%,0.8%,0.0%,3.8%,0.0%
"광주,전남북",100,98,69.7%,22.0%,1.3%,4.1%,0.0%,0.0%,1.1%,1.8%
"대구,경북",95,98,24.7%,61.5%,0.0%,3.1%,1.1%,4.5%,5.0%,0.0%
"부산,울산,경남",151,150,37.2%,43.4%,1.3%,10.9%,1.3%,2.6%,3.2%,0.0%
"강원,제주",43,44,37.4%,48.3%,0.0%,9.8%,2.4%,2.1%,0.0%,0.0%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
