"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,263,189,41.2%,46.3%,2.0%,7.7%,1.9%,0.6%,0.3%,0.0%
"경기,인천",320,316,46.2%,36.7%,2.5%,7.1%,3.8%,0.2%,2.2%,1.3%
"대전,세종,충남북",96,106,44.4%,35.7%,3.0%,6.8%,3.8%,2.6%,3.8%,0.0%
"부산,울산,경남",113,151,31.2%,55.4%,3.3%,2.5%,2.7%,1.6%,2.7%,0.6%
"대구,경북",73,98,27.3%,66.0%,0.0%,2.7%,2.7%,1.3%,0.0%,0.0%
"광주,전남북",97,98,62.2%,22.4%,4.4%,7.1%,0.7%,0.0%,2.5%,0.7%
"강원,제주",39,43,39.4%,47.7%,0.0%,9.8%,3.1%,0.0%,0.0%,0.0%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
