"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,김경재,없음,모름
서울,195,188,33.50%,46.10%,3.70%,8.20%,0.50%,0.00%,0.00%,3.80%,4.20%
"경기,인천",320,318,43.10%,36.30%,3.70%,8.40%,0.60%,0.00%,0.00%,3.10%,4.90%
"대전,세종,충남북",105,108,41.00%,40.40%,0.90%,8.00%,0.90%,0.70%,0.60%,6.50%,0.90%
"광주,전남북",99,99,71.00%,14.90%,4.30%,5.10%,2.00%,0.00%,0.00%,1.00%,1.80%
"대구,경북",94,97,18.60%,61.10%,0.80%,11.10%,0.00%,0.00%,0.00%,4.50%,3.90%
"부산,울산,경남",151,152,31.70%,53.10%,0.50%,6.50%,3.20%,0.00%,0.00%,2.00%,3.00%
"강원,제주",41,43,40.10%,48.80%,0.00%,4.70%,0.00%,0.00%,0.00%,0.00%,6.40%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
