"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름,,
서울,260,189,41.1%,44.7%,3.1%,7.2%,1.6%,0.5%,0.4%,1.4%,,
"경기,인천",311,315,48.8%,43.7%,1.5%,3.1%,1.4%,0.6%,0.5%,0.4%,,
"대전,세종,충남북",104,106,36.6%,52.2%,0.0%,7.8%,2.3%,0.0%,1.1%,0.0%,,
"부산,울산,경남",104,151,32.2%,52.7%,1.5%,8.4%,2.1%,0.0%,1.9%,1.1%,,
"대구,경북",91,98,38.3%,57.8%,0.0%,1.8%,0.0%,1.4%,0.0%,0.7%,,
"광주,전남북",89,98,76.9%,18.3%,2.3%,0.8%,1.7%,0.0%,0.0%,0.0%,,
"강원,제주",41,43,43.6%,39.8%,0.0%,9.8%,0.0%,0.0%,3.4%,3.3%,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
